id,name,full_name,description,category,website,phone,email,address,working_hours,services,is_digital_enabled,social_media
550e8400-e29b-41d4-a716-446655440001,MAGA,"Ministerio de Agricultura, Ganadería y Alimentación","Institución encargada de fomentar el desarrollo rural del sector agropecuario, forestal e hidrobiológico, a traves de la transformación y modernización de los medios productivos, organizactivos y comerciales.",agricultura,http://web.maga.gob.gt,24137000,,"7a. Avenida 12-90 zona 13, edificio Monja Blanca",8:00 hrs a 16:30 hrs,"Desarrollo rural integral|Transformación agropecuaria|Seguridad alimentaria|Sostenibilidad de recursos naturales",TRUE,https://www.facebook.com/maga.gt
550e8400-e29b-41d4-a716-446655440002,MARN,Ministerio de Ambiente y Recursos Naturales,"Institución encargada de proteger y fomentar los recursos, bienes y servicios naturales públicos.  Tambien regula la gestion ambiental y el desarrollo sostenible.",ambiente,http://www.marn.gob.gt,24230500,rpublicas@marn.gob.gt,"7 avenida 03-67, zona 13, Ciudad Guatemala",8:00 hrs a 16:30 hrs,"Gestión ambiental|Desarrollo sostenible|Protección de recursos naturales",TRUE,https://www.facebook.com/marngtambiente/
550e8400-e29b-41d4-a716-446655440003,MICIVI,"Ministerio de Comunicaciones, Infraestructura y Vivienda","Institución encargada de direccionar, reglamentar y representar los sectores de comunicaciones, insfraestructura y vivienda.  Al giaul que el mantenimiento y desarrollo del sistema de transporte.",vivienda,http://www.civ.gob.gt,2223 4000,,"8a Avenida y 15 calle zona 13,  Guatemala",9:00 hrs a 17:00 hrs,"Comunicaciones|Infraestructura|Vivienda|Sistema de transporte",TRUE,https://www.facebook.com/civguate/
550e8400-e29b-41d4-a716-446655440004,MCD,Ministerio de Cultura y Deportes,"Institución encargada a la conservación y desarrollo de la cultura guatemalteca, y el cuidado de la autenticidad de sus diversas manifestaciones; la protección de los monumentos y de los edificios, instituciones y áreas de interés histórico o cultural y el impulso de la recreación y del deporte no federado ni escolar.",cultura,https://mcd.gob.gt/,22395000,info@mcd.gob.gt,6 calle y 6 avenida zona 1 Palacio Nacional,9:00 hrs a 17:00 hrs,"Conservación cultural|Desarrollo cultural|Protección de monumentos|Recreación y deporte",TRUE,https://www.facebook.com/CulturayDeportesGT/
550e8400-e29b-41d4-a716-446655440005,MINDEF,Ministerio de la Defensa Nacional,Institución encargada de formular politicas para el cumplimiento de la defensa de la soberanía nacional. Actua como ógano intermediario entre el ejercito y las demas instituciones del estado.,defensa,http://www.mindef.mil.gt,44974051,dideprensa@gmail.com,Ave. Reforma 1-45 zona 10.,---,"Defensa nacional|Coordinación militar|Administración de defensa",TRUE,https://www.facebook.com/EjercitoGT/
550e8400-e29b-41d4-a716-446655440006,MIDES,Ministerio de Desarrollo Social,Institución encargada de generar políticas públicas para mejorar el nivel de vida de los grupos y personas vulnerables.,desarrollo,http://mides.gob.gt/webtwo/,2300 5400,INFO@MIDES.GOB.GT,5a. AV. 8-78 ZONA 9 GUATEMALA EDIFICIO PLAZA LAUDERDALE,8:00 hrs a 16:30 hrs,"Desarrollo social sostenible|Reducción de pobreza|Políticas públicas sociales",TRUE,https://www.facebook.com/Mides-Guatemala-1936605733288082/
550e8400-e29b-41d4-a716-446655440007,MINECO,Ministerio de Economía,"Institución encargada de promover el desarrollo económico, creando empleos y oportunidades de inversión.",negocios,http://www.mineco.gob.gt/,2412-0200,comunicacionsocial@mineco.gob.gt,8a. Avenida 10-43 Zona 1 Ciudad de Guatemala,8:00 hrs a 16:00 hrs,"Desarrollo económico|Creación de empleos|Oportunidades de inversión|Comercio exterior",TRUE,https://www.facebook.com/GUATEMINECO/
550e8400-e29b-41d4-a716-446655440008,MINEDUC,Ministerio de Educación,Institución encargada de generar oportunidades de enseñansa y aprendizaje.,educacion,http://www.mineduc.gob.gt/portal/index.asp,24119595,info@mineduc.gob.gt,6a. Calle 1-87 Zona 10,9:00 hrs a 17:30 hrs,"Oportunidades de enseñanza-aprendizaje|Educación pública|Desarrollo educativo",TRUE,https://www.facebook.com/MineducGuate/
550e8400-e29b-41d4-a716-446655440009,MEM,Ministerio de Energía y Minas,"Institución encarga de regular los sectores de energía y minas, y fomentar el aprovechamiento adecuado de los recursos naturales",energia,http://www.mem.gob.gt/,2419 6464,,"Diagonal 17, 29-78 zona 11, Las Charcas",8:00 hrs a 16:00 hrs,"Regulación energética|Sector minero|Aprovechamiento de recursos naturales",TRUE,https://www.facebook.com/MEMguatemala/
550e8400-e29b-41d4-a716-446655440010,MINFIN,Ministerio de Finanzas Públicas,Institución encarga de administrar los recursos financieros y patrimoniales del estado.,finanzas,http://www.minfin.gob.gt/,23743000,,"8a. Avenida 20-59 Zona 1, Centro Cívico, Guatemala",8:00 hrs a 16:30 hrs,"Administración financiera|Recursos patrimoniales|Política fiscal sostenible",TRUE,https://www.facebook.com/MinfinGT/
550e8400-e29b-41d4-a716-446655440011,MINGOB,Ministerio de Gobernación,"Institución encarga de generar polítcas relacionadas con el mantenimiento de la paz y orden público, al igual que la administración de los regímenes migratorios, penitenciares y los cuerpo de seguridad interna.",gobernacion,http://mingob.gob.gt/,24138888,,"6 avenida 13-71 zona 1, Guatemala, Guatemala",9:00 hrs a 17:30 hrs,"Mantenimiento de paz|Orden público|Regímenes migratorios|Sistema penitenciario",TRUE,https://www.facebook.com/mingobguate/
