id,name,full_name,description,category,website,phone,email,address,working_hours,services,is_digital_enabled,social_media,created_at,updated_at
550e8400-e29b-41d4-a716-446655440001,"Ministerio de Agricultura, Ganadería y Alimentación -MAGA-","Ministerio de Agricultura, Ganadería y Alimentación","Institución encargada de fomentar el desarrollo rural del sector agropecuario, forestal e hidrobiológico, a traves de la transformación y modernización de los medios productivos, organizactivos y comerciales.",,http://web.maga.gob.gt,24137000,,"7a. Avenida 12-90 zona 13, edificio Monja Blanca",8:00 hrs a 16:30 hrs,"Somos una Institución del Estado, que fomenta el desarrollo rural integral a través de la transformación y modernización del sector agropecuario, forestal e hidrobiológico, desarrollando capacidades productivas, organizativas y comerciales para lograr la seguridad y soberanía alimentaria y competitividad con normas y regulaciones claras para el manejo de productos en el mercado nacional e internacional, garantizando la sostenibilidad de los recursos naturales.",TRUE,https://www.facebook.com/maga.gt,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440002,Ministerio de Ambiente y Recursos Naturales  -MARN-,Ministerio de Ambiente y Recursos Naturales,"Institución encargada de proteger y fomentar los recursos, bienes y servicios naturales públicos.  Tambien regula la gestion ambiental y el desarrollo sostenible.",,http://www.marn.gob.gt,24230500,rpublicas@marn.gob.gt,"7 avenida 03-67, zona 13, Ciudad Guatemala",8:00 hrs a 16:30 hrs,"Somos la institución que regula la gestión ambiental y promueve el desarrollo sostenible en  Guatemala, de forma participativa.",TRUE,https://www.facebook.com/marngtambiente/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440003,"Ministerio de Comunicaciones, Infraestructura y Vivienda -MICIVI-","Ministerio de Comunicaciones, Infraestructura y Vivienda","Institución encargada de direccionar, reglamentar y representar los sectores de comunicaciones, insfraestructura y vivienda.  Al giaul que el mantenimiento y desarrollo del sistema de transporte.",,http://www.civ.gob.gt,2223 4000,,"8a Avenida y 15 calle zona 13,  Guatemala",9:00 hrs a 17:00 hrs,"Ser el ente rector que direcciona, reglamenta y representa en el ámbito nacional a los sectores de comunicaciones, infraestructura y vivienda; ejecutando políticas y estrategias para integrar al país con servicios acorde al desarrollo social y económico de la nación, contribuyendo a mejorar la competitividad a través del ejercicio de una administración y control eficientes.",TRUE,https://www.facebook.com/civguate/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440004,Ministerio de Cultura y Deportes -MCD-,Ministerio de Cultura y Deportes,"Institución encargada a la conservación y desarrollo de la cultura guatemalteca, y el cuidado de la autenticidad de sus diversas manifestaciones; la protección de los monumentos y de los edificios, instituciones y áreas de interés histórico o cultural y el impulso de la recreación y del deporte no federado ni escolar.",,https://mcd.gob.gt/,22395000,info@mcd.gob.gt,6 calle y 6 avenida zona 1 Palacio Nacional,9:00 hrs a 17:00 hrs,"Fortalecemos y promovemos la identidad guatemalteca y la cultura de paz, en el marco de la diversidad cultural y el fomento de la interculturalidad, mediante la protección, promoción y divulgación de los valores y manifestaciones culturales de los pueblos que conforman la nación guatemalteca, a través de una institucionalidad solida y mediante mecanismos de desconcentración, descentralización, transparencia y participación ciudadana, a efecto de contribuir a lograr un mejor nivel de vida para la población guatemalteca.",TRUE,https://www.facebook.com/CulturayDeportesGT/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440005,Ministerio de la Defensa Nacional -MINDEF-,Ministerio de la Defensa Nacional,Institución encargada de formular politicas para el cumplimiento de la defensa de la soberanía nacional. Actua como ógano intermediario entre el ejercito y las demas instituciones del estado.,,http://www.mindef.mil.gt,44974051,dideprensa@gmail.com,Ave. Reforma 1-45 zona 10.,---,"La Dirección General Administrativa del Ministerio de la Defensa Nacional, tiene como misión: planificar, coordinar, dirigir y controlar las actividades administrativas del Ministerio de la Defensa Nacional. Recibir, analizar, sintetizar, tramitar, resolver, notificar, e informar sobre la correspondencia emitida y recibida del Estado Mayor de la Defensa Nacional y las diversas instituciones públicas y privadas. Llevar el control de las audiencias públicas y privadas del Señor Ministro de la Defensa Nacional. Efectuar el proceso de archivo de la correspondencia en general del Ministerio de la Defensa Nacional.",TRUE,https://www.facebook.com/EjercitoGT/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440006,Ministerio de Desarrollo Social -MIDES-,Ministerio de Desarrollo Social,Institución encargada de generar políticas públicas para mejorar el nivel de vida de los grupos y personas vulnerables.,,http://mides.gob.gt/webtwo/,2300 5400,INFO@MIDES.GOB.GT,5a. AV. 8-78 ZONA 9 GUATEMALA EDIFICIO PLAZA LAUDERDALE,8:00 hrs a 16:30 hrs,"El Ministerio de Desarrollo Social -Mides- es la entidad rectora que promueve y articula políticas y acciones para el desarrollo social sostenible de la población excluida de sus oportunidades básicas, con el fin de contribuir a mejorar sus condiciones de vida y reducir la pobreza.",TRUE,https://www.facebook.com/Mides-Guatemala-1936605733288082/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440007,Ministerio de Economía -MINECO-,Ministerio de Economía,"Institución encargada de promover el desarrollo económico, creando empleos y oportunidades de inversión.",,http://www.mineco.gob.gt/,2412-0200,"comunicacionsocial@mineco.gob.gt


",8a. Avenida 10-43 Zona 1 Ciudad de Guatemala,8:00 hrs a 16:00 hrs,"Ser la Dirección de apoyo al Viceministerio de Integración y Comercio Exterior en el diseño y negociación de acuerdos comerciales, así como en la promoción del adecuado desarrollo de la integración económica centroamericana y promover la expansión de la base exportable, para insertar a Guatemala  en el contexto internacional y de la región centroamericana.

 ",TRUE,https://www.facebook.com/GUATEMINECO/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440008,Ministerio de Educación -MINEDUC-,Ministerio de Educación,Institución encargada de generar oportunidades de enseñansa y aprendizaje.,,http://www.mineduc.gob.gt/portal/index.asp,24119595,info@mineduc.gob.gt,6a. Calle 1-87 Zona 10,9:00 hrs a 17:30 hrs,"Somos una institución evolutiva, organizada, eficiente y eficaz, generadora de oportunidades de enseñanza-aprendizaje, orientada a resultados, que aprovecha diligentemente las oportunidades que el siglo XXI le brinda y comprometida con una Guatemala mejor.",TRUE,https://www.facebook.com/MineducGuate/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440009,Ministerio de Energía y Minas -MEM-,Ministerio de Energía y Minas,"Institución encarga de regular los sectores de energía y minas, y fomentar el aprovechamiento adecuado de los recursos naturales",,http://www.mem.gob.gt/,2419 6464,,"Diagonal 17, 29-78 zona 11, Las Charcas",8:00 hrs a 16:00 hrs,"Propiciar y ejecutar las acciones que permitan la inversión destinada al aprovechamiento integral de los recursos naturales, que proveen bienes y servicios energéticos y mineros velando por los derechos de sus usuarios y de la sociedad en general.",TRUE,https://www.facebook.com/MEMguatemala/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440010,Ministerio de Finanzas Públicas -MINFIN-,Ministerio de Finanzas Públicas,Institución encarga de administrar los recursos financieros y patrimoniales del estado.,,http://www.minfin.gob.gt/,23743000,,"8a. Avenida 20-59 Zona 1, Centro Cívico, Guatemala",8:00 hrs a 16:30 hrs,"Somos una institución que contribuye a la implementación de una política fiscal sostenible, mediante la gestión eficiente y transparente de los ingresos, los egresos y la deuda pública, para fortalecer el desarrollo social y el crecimiento económico nacional.",TRUE,https://www.facebook.com/MinfinGT/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
550e8400-e29b-41d4-a716-446655440011,Ministerio de Gobernación -MINGOB-,Ministerio de Gobernación,"Institución encarga de generar polítcas relacionadas con el mantenimiento de la paz y orden público, al igual que la administración de los regímenes migratorios, penitenciares y los cuerpo de seguridad interna.",,http://mingob.gob.gt/,24138888,,"6 avenida 13-71 zona 1, Guatemala, Guatemala",9:00 hrs a 17:30 hrs,"Institución rectora de las políticas relativas al mantenimiento de la paz, el orden público y la seguridad interior, que ejecuta las órdenes y resoluciones judiciales, administra los regímenes migratorio y penitenciario, conduce y regula los cuerpos de seguridad y cumple las funciones de gobernabilidad asignadas por la ley.",TRUE,https://www.facebook.com/mingobguate/,2025-09-12 03:14:29.037614+00,2025-09-12 03:14:29.037614+00
